Pertanyaan,Jawaban
"Apa bidang usaha Panata Bayu Nugraha?","Panata Bayu Nugraha bergerak di bidang Sub Kontraktor Kecil dan Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi Panata Bayu Nugraha?","Panata Bayu Nugraha berlokasi di Banten."
"Apa kualifikasi perusahaan untuk Panata Bayu Nugraha?","Kualifikasi perusahaan Panata Bayu Nugraha adalah PT."
"Siapa KARYA PRIMA PONDASI?","KARYA PRIMA PONDASI adalah vendor dengan status Registered, kualifikasi CV, di bidang Konsultan Konstruksi, berlokasi di Jawa Timur. Kode SBU: KK001."
"Bagaimana status rekanan KARYA PRIMA PONDASI?","KARYA PRIMA PONDASI memiliki status rekanan Registered."
"Apa bidang usaha KARYA PRIMA PONDASI?","KARYA PRIMA PONDASI bergerak di bidang Konsultan Konstruksi (Tidak diketahui)."
"Dimana lokasi atau provinsi KARYA PRIMA PONDASI?","KARYA PRIMA PONDASI berlokasi di Jawa Timur."
"Apa kualifikasi perusahaan untuk KARYA PRIMA PONDASI?","Kualifikasi perusahaan KARYA PRIMA PONDASI adalah CV."
"Siapa SUKSES MANDIRI BERKAH?","SUKSES MANDIRI BERKAH adalah vendor dengan status Unverified, kualifikasi PT, di bidang Supplier Besar, berlokasi di Jawa Timur. Kode SBU: BS001."
"Bagaimana status rekanan SUKSES MANDIRI BERKAH?","SUKSES MANDIRI BERKAH memiliki status rekanan Unverified."
"Apa bidang usaha SUKSES MANDIRI BERKAH?","SUKSES MANDIRI BERKAH bergerak di bidang Supplier Besar (Tidak diketahui)."
"Dimana lokasi atau provinsi SUKSES MANDIRI BERKAH?","SUKSES MANDIRI BERKAH berlokasi di Jawa Timur."
"Apa kualifikasi perusahaan untuk SUKSES MANDIRI BERKAH?","Kualifikasi perusahaan SUKSES MANDIRI BERKAH adalah PT."
"Siapa SEJAHTERA UTAMA?","SEJAHTERA UTAMA adalah vendor dengan status Unverified, kualifikasi CV, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di Sumatera Selatan. Kode SBU: BS001."
"Bagaimana status rekanan SEJAHTERA UTAMA?","SEJAHTERA UTAMA memiliki status rekanan Unverified."
"Apa bidang usaha SEJAHTERA UTAMA?","SEJAHTERA UTAMA bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi (Tidak diketahui)."
"Dimana lokasi atau provinsi SEJAHTERA UTAMA?","SEJAHTERA UTAMA berlokasi di Sumatera Selatan."
"Apa kualifikasi perusahaan untuk SEJAHTERA UTAMA?","Kualifikasi perusahaan SEJAHTERA UTAMA adalah CV."
"Siapa Beton Perkasa Wijaksana?","Beton Perkasa Wijaksana adalah vendor dengan status Registered, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Tengah. Kode SBU: PL008."
"Bagaimana status rekanan Beton Perkasa Wijaksana?","Beton Perkasa Wijaksana memiliki status rekanan Registered."
"Apa bidang usaha Beton Perkasa Wijaksana?","Beton Perkasa Wijaksana bergerak di bidang Sub Kontraktor Kecil dan Menengah (ELEKTRIKAL, SUBKON)."
"Dimana lokasi atau provinsi Beton Perkasa Wijaksana?","Beton Perkasa Wijaksana berlokasi di Jawa Tengah."
"Apa kualifikasi perusahaan untuk Beton Perkasa Wijaksana?","Kualifikasi perusahaan Beton Perkasa Wijaksana adalah PT."
"Siapa TIGA DIMENSI KARYA KONSTRUKSI?","TIGA DIMENSI KARYA KONSTRUKSI adalah vendor dengan status Registered, kualifikasi PT, di bidang Sewa Alat, berlokasi di Nusa Tenggara Timur. Kode SBU: BG005."
"Bagaimana status rekanan TIGA DIMENSI KARYA KONSTRUKSI?","TIGA DIMENSI KARYA KONSTRUKSI memiliki status rekanan Registered."
"Apa bidang usaha TIGA DIMENSI KARYA KONSTRUKSI?","TIGA DIMENSI KARYA KONSTRUKSI bergerak di bidang Sewa Alat (Tidak diketahui)."
"Dimana lokasi atau provinsi TIGA DIMENSI KARYA KONSTRUKSI?","TIGA DIMENSI KARYA KONSTRUKSI berlokasi di Nusa Tenggara Timur."
"Apa kualifikasi perusahaan untuk TIGA DIMENSI KARYA KONSTRUKSI?","Kualifikasi perusahaan TIGA DIMENSI KARYA KONSTRUKSI adalah PT."
"Siapa MULTI INDOTECH?","MULTI INDOTECH adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Supplier Menengah, berlokasi di DKI Jakarta. Kode SBU: IN001."
"Bagaimana status rekanan MULTI INDOTECH?","MULTI INDOTECH memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha MULTI INDOTECH?","MULTI INDOTECH bergerak di bidang Supplier Menengah (BORROW MATERIAL, SUPPLIER)."
"Dimana lokasi atau provinsi MULTI INDOTECH?","MULTI INDOTECH berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk MULTI INDOTECH?","Kualifikasi perusahaan MULTI INDOTECH adalah PT."
"Siapa HABE RASIMAN JAYA?","HABE RASIMAN JAYA adalah vendor dengan status Calon Rekanan Waskita, kualifikasi CV, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di Jawa Tengah. Kode SBU: BS004."
"Bagaimana status rekanan HABE RASIMAN JAYA?","HABE RASIMAN JAYA memiliki status rekanan Calon Rekanan Waskita."
"Apa bidang usaha HABE RASIMAN JAYA?","HABE RASIMAN JAYA bergerak di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi) (GRATING , DECK DRAIN & CAST IRON, SUPPLIER)."
"Dimana lokasi atau provinsi HABE RASIMAN JAYA?","HABE RASIMAN JAYA berlokasi di Jawa Tengah."
"Apa kualifikasi perusahaan untuk HABE RASIMAN JAYA?","Kualifikasi perusahaan HABE RASIMAN JAYA adalah CV."
"Siapa BUMI LARAS KARYA?","BUMI LARAS KARYA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Supplier Besar, berlokasi di Sumatera Utara. Kode SBU: BG009."
"Bagaimana status rekanan BUMI LARAS KARYA?","BUMI LARAS KARYA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha BUMI LARAS KARYA?","BUMI LARAS KARYA bergerak di bidang Supplier Besar (BESI BETON, SUPPLIER)."
"Dimana lokasi atau provinsi BUMI LARAS KARYA?","BUMI LARAS KARYA berlokasi di Sumatera Utara."
"Apa kualifikasi perusahaan untuk BUMI LARAS KARYA?","Kualifikasi perusahaan BUMI LARAS KARYA adalah PT."
"Siapa BARATA INDONESIA (Persero)?","BARATA INDONESIA (Persero) adalah vendor dengan status Unverified, kualifikasi CV, di bidang Supplier, berlokasi di Sumatera Selatan. Kode SBU: KK016."
"Bagaimana status rekanan BARATA INDONESIA (Persero)?","BARATA INDONESIA (Persero) memiliki status rekanan Unverified."
"Apa bidang usaha BARATA INDONESIA (Persero)?","BARATA INDONESIA (Persero) bergerak di bidang Supplier (Tidak diketahui)."
"Dimana lokasi atau provinsi BARATA INDONESIA (Persero)?","BARATA INDONESIA (Persero) berlokasi di Sumatera Selatan."
"Apa kualifikasi perusahaan untuk BARATA INDONESIA (Persero)?","Kualifikasi perusahaan BARATA INDONESIA (Persero) adalah CV."
"Siapa PT WSP ENGINEERING?","PT WSP ENGINEERING adalah vendor dengan status Unverified, kualifikasi PT, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta. Kode SBU: RK003."
"Bagaimana status rekanan PT WSP ENGINEERING?","PT WSP ENGINEERING memiliki status rekanan Unverified."
"Apa bidang usaha PT WSP ENGINEERING?","PT WSP ENGINEERING bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi (ASURANSI)."
"Dimana lokasi atau provinsi PT WSP ENGINEERING?","PT WSP ENGINEERING berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk PT WSP ENGINEERING?","Kualifikasi perusahaan PT WSP ENGINEERING adalah PT."
"Siapa CV DCN ABADI SENTOSA?","CV DCN ABADI SENTOSA adalah vendor dengan status Unverified, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Banten. Kode SBU: BS001."
"Bagaimana status rekanan CV DCN ABADI SENTOSA?","CV DCN ABADI SENTOSA memiliki status rekanan Unverified."
"Apa bidang usaha CV DCN ABADI SENTOSA?","CV DCN ABADI SENTOSA bergerak di bidang Sub Kontraktor Kecil dan Menengah (GENSET / GENERATOR SET, SUPPLIER)."
"Dimana lokasi atau provinsi CV DCN ABADI SENTOSA?","CV DCN ABADI SENTOSA berlokasi di Banten."
"Apa kualifikasi perusahaan untuk CV DCN ABADI SENTOSA?","Kualifikasi perusahaan CV DCN ABADI SENTOSA adalah PT."
"Siapa GRIYA FORTUNA BUUN?","GRIYA FORTUNA BUUN adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta. Kode SBU: PL004."
"Bagaimana status rekanan GRIYA FORTUNA BUUN?","GRIYA FORTUNA BUUN memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha GRIYA FORTUNA BUUN?","GRIYA FORTUNA BUUN bergerak di bidang Sub Kontraktor Kecil dan Menengah (ASPAL & HOTMIX, SUBKON)."
"Dimana lokasi atau provinsi GRIYA FORTUNA BUUN?","GRIYA FORTUNA BUUN berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk GRIYA FORTUNA BUUN?","Kualifikasi perusahaan GRIYA FORTUNA BUUN adalah PT."
"Siapa PT COKRO PONDASI?","PT COKRO PONDASI adalah vendor dengan status Unverified, kualifikasi PT, di bidang Sewa Alat, berlokasi di DKI Jakarta. Kode SBU: KK001."
"Bagaimana status rekanan PT COKRO PONDASI?","PT COKRO PONDASI memiliki status rekanan Unverified."
"Apa bidang usaha PT COKRO PONDASI?","PT COKRO PONDASI bergerak di bidang Sewa Alat (SEWA KENDARAAN)."
"Dimana lokasi atau provinsi PT COKRO PONDASI?","PT COKRO PONDASI berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk PT COKRO PONDASI?","Kualifikasi perusahaan PT COKRO PONDASI adalah PT."
"Siapa Gaharu Global Perkasa?","Gaharu Global Perkasa adalah vendor dengan status Rekanan Terseleksi Waskita, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Banten. Kode SBU: BG006."
"Bagaimana status rekanan Gaharu Global Perkasa?","Gaharu Global Perkasa memiliki status rekanan Rekanan Terseleksi Waskita."
"Apa bidang usaha Gaharu Global Perkasa?","Gaharu Global Perkasa bergerak di bidang Sub Kontraktor Kecil dan Menengah (ASPAL & HOTMIX, SUBKON ;)."
"Dimana lokasi atau provinsi Gaharu Global Perkasa?","Gaharu Global Perkasa berlokasi di Banten."
"Apa kualifikasi perusahaan untuk Gaharu Global Perkasa?","Kualifikasi perusahaan Gaharu Global Perkasa adalah PT."
"Siapa DEMAK INDAH?","DEMAK INDAH adalah vendor dengan status Unverified, kualifikasi PT, di bidang Supplier Besar,, berlokasi di DKI Jakarta. Kode SBU: BS001."
"Bagaimana status rekanan DEMAK INDAH?","DEMAK INDAH memiliki status rekanan Unverified."
"Apa bidang usaha DEMAK INDAH?","DEMAK INDAH bergerak di bidang Supplier Besar, (ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;)."
"Dimana lokasi atau provinsi DEMAK INDAH?","DEMAK INDAH berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk DEMAK INDAH?","Kualifikasi perusahaan DEMAK INDAH adalah PT."
"Siapa Alba Unggul Metal?","Alba Unggul Metal adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, kualifikasi PT, di bidang Supplier Menengah,, berlokasi di Jawa Barat. Kode SBU: BG009."
"Bagaimana status rekanan Alba Unggul Metal?","Alba Unggul Metal memiliki status rekanan Calon Rekanan Waskita Approved Level 1."
"Apa bidang usaha Alba Unggul Metal?","Alba Unggul Metal bergerak di bidang Supplier Menengah, (ACP / ALUMINIUM COMPOSITE PANEL, SUBKON ;)."
"Dimana lokasi atau provinsi Alba Unggul Metal?","Alba Unggul Metal berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk Alba Unggul Metal?","Kualifikasi perusahaan Alba Unggul Metal adalah PT."
"Siapa KIARA SENTOSA KUNINGAN?","KIARA SENTOSA KUNINGAN adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Supplier Menengah, berlokasi di DKI Jakarta. Kode SBU: BS004."
"Bagaimana status rekanan KIARA SENTOSA KUNINGAN?","KIARA SENTOSA KUNINGAN memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha KIARA SENTOSA KUNINGAN?","KIARA SENTOSA KUNINGAN bergerak di bidang Supplier Menengah (GENSET / GENERATOR SET, SUPPLIER)."
"Dimana lokasi atau provinsi KIARA SENTOSA KUNINGAN?","KIARA SENTOSA KUNINGAN berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk KIARA SENTOSA KUNINGAN?","Kualifikasi perusahaan KIARA SENTOSA KUNINGAN adalah PT."
"Siapa PILAR UTAMA?","PILAR UTAMA adalah vendor dengan status Registered, kualifikasi PT, di bidang Supplier Besar, berlokasi di DKI Jakarta. Kode SBU: KK001."
"Bagaimana status rekanan PILAR UTAMA?","PILAR UTAMA memiliki status rekanan Registered."
"Apa bidang usaha PILAR UTAMA?","PILAR UTAMA bergerak di bidang Supplier Besar (Tidak diketahui)."
"Dimana lokasi atau provinsi PILAR UTAMA?","PILAR UTAMA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk PILAR UTAMA?","Kualifikasi perusahaan PILAR UTAMA adalah PT."
"Siapa ENVITECH PERKASA?","ENVITECH PERKASA adalah vendor dengan status Registered, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Banten. Kode SBU: IN007."
"Bagaimana status rekanan ENVITECH PERKASA?","ENVITECH PERKASA memiliki status rekanan Registered."
"Apa bidang usaha ENVITECH PERKASA?","ENVITECH PERKASA bergerak di bidang Sub Kontraktor Kecil dan Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi ENVITECH PERKASA?","ENVITECH PERKASA berlokasi di Banten."
"Apa kualifikasi perusahaan untuk ENVITECH PERKASA?","Kualifikasi perusahaan ENVITECH PERKASA adalah PT."
"Siapa PROGRESMAX?","PROGRESMAX adalah vendor dengan status Registered, kualifikasi CV, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Nusa Tenggara Timur. Kode SBU: BS004."
"Bagaimana status rekanan PROGRESMAX?","PROGRESMAX memiliki status rekanan Registered."
"Apa bidang usaha PROGRESMAX?","PROGRESMAX bergerak di bidang Sub Kontraktor Kecil dan Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi PROGRESMAX?","PROGRESMAX berlokasi di Nusa Tenggara Timur."
"Apa kualifikasi perusahaan untuk PROGRESMAX?","Kualifikasi perusahaan PROGRESMAX adalah CV."
"Siapa ANGKASA SARANA JAYA?","ANGKASA SARANA JAYA adalah vendor dengan status Unverified, kualifikasi PT, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di Sumatera Selatan. Kode SBU: BG009."
"Bagaimana status rekanan ANGKASA SARANA JAYA?","ANGKASA SARANA JAYA memiliki status rekanan Unverified."
"Apa bidang usaha ANGKASA SARANA JAYA?","ANGKASA SARANA JAYA bergerak di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi) (Tidak diketahui)."
"Dimana lokasi atau provinsi ANGKASA SARANA JAYA?","ANGKASA SARANA JAYA berlokasi di Sumatera Selatan."
"Apa kualifikasi perusahaan untuk ANGKASA SARANA JAYA?","Kualifikasi perusahaan ANGKASA SARANA JAYA adalah PT."
"Siapa KMU KONSTRUKSI INDONESIA?","KMU KONSTRUKSI INDONESIA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta. Kode SBU: BS020."
"Bagaimana status rekanan KMU KONSTRUKSI INDONESIA?","KMU KONSTRUKSI INDONESIA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha KMU KONSTRUKSI INDONESIA?","KMU KONSTRUKSI INDONESIA bergerak di bidang Sub Kontraktor Kecil dan Menengah (JASA DESAIN REKAYASA KONSTRUKSI PONDASI & STRUKTUR BANGUNAN, SUBKON ;)."
"Dimana lokasi atau provinsi KMU KONSTRUKSI INDONESIA?","KMU KONSTRUKSI INDONESIA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk KMU KONSTRUKSI INDONESIA?","Kualifikasi perusahaan KMU KONSTRUKSI INDONESIA adalah PT."
"Siapa RODAMAS INTI TEKNIKA?","RODAMAS INTI TEKNIKA adalah vendor dengan status Unverified, kualifikasi PT, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di Banten. Kode SBU: IN008."
"Bagaimana status rekanan RODAMAS INTI TEKNIKA?","RODAMAS INTI TEKNIKA memiliki status rekanan Unverified."
"Apa bidang usaha RODAMAS INTI TEKNIKA?","RODAMAS INTI TEKNIKA bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi (TEKNOLOGI INFORMASI / IT)."
"Dimana lokasi atau provinsi RODAMAS INTI TEKNIKA?","RODAMAS INTI TEKNIKA berlokasi di Banten."
"Apa kualifikasi perusahaan untuk RODAMAS INTI TEKNIKA?","Kualifikasi perusahaan RODAMAS INTI TEKNIKA adalah PT."
"Siapa CATUR PUTRA MANUNGGAL?","CATUR PUTRA MANUNGGAL adalah vendor dengan status Unverified, kualifikasi PT, di bidang Sub Kontraktor, berlokasi di Jawa Timur. Kode SBU: PL004."
"Bagaimana status rekanan CATUR PUTRA MANUNGGAL?","CATUR PUTRA MANUNGGAL memiliki status rekanan Unverified."
"Apa bidang usaha CATUR PUTRA MANUNGGAL?","CATUR PUTRA MANUNGGAL bergerak di bidang Sub Kontraktor (Tidak diketahui)."
"Dimana lokasi atau provinsi CATUR PUTRA MANUNGGAL?","CATUR PUTRA MANUNGGAL berlokasi di Jawa Timur."
"Apa kualifikasi perusahaan untuk CATUR PUTRA MANUNGGAL?","Kualifikasi perusahaan CATUR PUTRA MANUNGGAL adalah PT."
"Siapa BIMANTARA UTAMA?","BIMANTARA UTAMA adalah vendor dengan status Registered, kualifikasi PT, di bidang Supplier Besar, berlokasi di DKI Jakarta. Kode SBU: BG005."
"Bagaimana status rekanan BIMANTARA UTAMA?","BIMANTARA UTAMA memiliki status rekanan Registered."
"Apa bidang usaha BIMANTARA UTAMA?","BIMANTARA UTAMA bergerak di bidang Supplier Besar (Tidak diketahui)."
"Dimana lokasi atau provinsi BIMANTARA UTAMA?","BIMANTARA UTAMA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk BIMANTARA UTAMA?","Kualifikasi perusahaan BIMANTARA UTAMA adalah PT."
"Siapa CAHAYA INDRA LAKSANA?","CAHAYA INDRA LAKSANA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Supplier Menengah,, berlokasi di Jawa Barat. Kode SBU: PL004."
"Bagaimana status rekanan CAHAYA INDRA LAKSANA?","CAHAYA INDRA LAKSANA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha CAHAYA INDRA LAKSANA?","CAHAYA INDRA LAKSANA bergerak di bidang Supplier Menengah, (GALIAN & TIMBUNAN, SUBKON)."
"Dimana lokasi atau provinsi CAHAYA INDRA LAKSANA?","CAHAYA INDRA LAKSANA berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk CAHAYA INDRA LAKSANA?","Kualifikasi perusahaan CAHAYA INDRA LAKSANA adalah PT."
"Siapa RED JAYA UTAMA?","RED JAYA UTAMA adalah vendor dengan status Registered, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Tidak diketahui. Kode SBU: BS004."
"Bagaimana status rekanan RED JAYA UTAMA?","RED JAYA UTAMA memiliki status rekanan Registered."
"Apa bidang usaha RED JAYA UTAMA?","RED JAYA UTAMA bergerak di bidang Sub Kontraktor Kecil dan Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi RED JAYA UTAMA?","RED JAYA UTAMA berlokasi di Tidak diketahui."
"Apa kualifikasi perusahaan untuk RED JAYA UTAMA?","Kualifikasi perusahaan RED JAYA UTAMA adalah PT."
"Siapa BOAS PRATAMA?","BOAS PRATAMA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Supplier, berlokasi di DKI Jakarta. Kode SBU: BS004."
"Bagaimana status rekanan BOAS PRATAMA?","BOAS PRATAMA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha BOAS PRATAMA?","BOAS PRATAMA bergerak di bidang Supplier (Tidak diketahui)."
"Dimana lokasi atau provinsi BOAS PRATAMA?","BOAS PRATAMA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk BOAS PRATAMA?","Kualifikasi perusahaan BOAS PRATAMA adalah PT."
"Siapa CV ANDA KARYA?","CV ANDA KARYA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Supplier Besar, berlokasi di DKI Jakarta. Kode SBU: BG009."
"Bagaimana status rekanan CV ANDA KARYA?","CV ANDA KARYA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha CV ANDA KARYA?","CV ANDA KARYA bergerak di bidang Supplier Besar (ELECTRICAL & CABLE POWER , SUPPLIER)."
"Dimana lokasi atau provinsi CV ANDA KARYA?","CV ANDA KARYA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk CV ANDA KARYA?","Kualifikasi perusahaan CV ANDA KARYA adalah PT."
"Siapa ARAFAH II?","ARAFAH II adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Supplier Besar, berlokasi di DKI Jakarta. Kode SBU: BS002."
"Bagaimana status rekanan ARAFAH II?","ARAFAH II memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha ARAFAH II?","ARAFAH II bergerak di bidang Supplier Besar (BETON READY MIX, SUPPLIER)."
"Dimana lokasi atau provinsi ARAFAH II?","ARAFAH II berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk ARAFAH II?","Kualifikasi perusahaan ARAFAH II adalah PT."
"Siapa RUBIKON?","RUBIKON adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Supplier Menengah,, berlokasi di Nusa Tenggara Timur. Kode SBU: IT002."
"Bagaimana status rekanan RUBIKON?","RUBIKON memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha RUBIKON?","RUBIKON bergerak di bidang Supplier Menengah, (ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;)."
"Dimana lokasi atau provinsi RUBIKON?","RUBIKON berlokasi di Nusa Tenggara Timur."
"Apa kualifikasi perusahaan untuk RUBIKON?","Kualifikasi perusahaan RUBIKON adalah PT."
"Siapa CIPTA GRAHA ABADI?","CIPTA GRAHA ABADI adalah vendor dengan status Unverified, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Timur. Kode SBU: BS001."
"Bagaimana status rekanan CIPTA GRAHA ABADI?","CIPTA GRAHA ABADI memiliki status rekanan Unverified."
"Apa bidang usaha CIPTA GRAHA ABADI?","CIPTA GRAHA ABADI bergerak di bidang Sub Kontraktor Kecil dan Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi CIPTA GRAHA ABADI?","CIPTA GRAHA ABADI berlokasi di Jawa Timur."
"Apa kualifikasi perusahaan untuk CIPTA GRAHA ABADI?","Kualifikasi perusahaan CIPTA GRAHA ABADI adalah PT."
"Siapa Elshaddai Exterior Inovasi?","Elshaddai Exterior Inovasi adalah vendor dengan status Registered, kualifikasi PT, di bidang Supplier Besar, berlokasi di DKI Jakarta. Kode SBU: PB001."
"Bagaimana status rekanan Elshaddai Exterior Inovasi?","Elshaddai Exterior Inovasi memiliki status rekanan Registered."
"Apa bidang usaha Elshaddai Exterior Inovasi?","Elshaddai Exterior Inovasi bergerak di bidang Supplier Besar (Tidak diketahui)."
"Dimana lokasi atau provinsi Elshaddai Exterior Inovasi?","Elshaddai Exterior Inovasi berlokasi di DKI Jakarta."
